seed,method,evaluator,mean_tv,mean_reversal_fraction,mean_tie_transitions,mean_top_jaccard
4101,shapley,equal_class,0.11268685506067347,0.125,0.0,0.75
4102,shapley,equal_class,0.10060520888174035,0.20833333333333331,0.0,0.5
4103,shapley,equal_class,0.1499630259495424,0.3333333333333333,0.0,0.25
4104,shapley,equal_class,0.11639102204181516,0.25,0.0,0.5
4105,shapley,equal_class,0.11014453629035753,0.25,0.0,0.5
4106,shapley,equal_class,0.10158356522504572,0.16666666666666666,0.0,0.25
4107,shapley,equal_class,0.08580474379237713,0.20833333333333331,0.0,0.5
4108,shapley,equal_class,0.16688148107573705,0.3333333333333333,0.0,0.25
4109,shapley,equal_class,0.1474371984029932,0.25,0.0,0.0
4110,shapley,equal_class,0.11715938588501323,0.25,0.0,0.5
4101,shapley,equal_subject,0.010687222459033696,0.0,0.0,1.0
4102,shapley,equal_subject,0.011415171467429304,0.041666666666666664,0.0,0.75
4103,shapley,equal_subject,0.008116061292570358,0.041666666666666664,0.0,0.75
4104,shapley,equal_subject,0.006856107691209966,0.0,0.0,1.0
4105,shapley,equal_subject,0.009945224029525962,0.0,0.0,1.0
4106,shapley,equal_subject,0.010808687976018493,0.125,0.0,0.75
4107,shapley,equal_subject,0.00814163880982661,0.08333333333333333,0.0,0.75
4108,shapley,equal_subject,0.013511381345427845,0.041666666666666664,0.0,1.0
4109,shapley,equal_subject,0.006175818453800443,0.0,0.0,1.0
4110,shapley,equal_subject,0.009004636859948543,0.0,0.0,1.0
4101,leave_one_out,equal_class,0.30116688824845306,0.125,0.0,0.75
4102,leave_one_out,equal_class,0.3255860668549443,0.125,0.0,0.5
4103,leave_one_out,equal_class,0.2856874250733772,0.2916666666666667,0.0,0.5
4104,leave_one_out,equal_class,0.20090375544287883,0.16666666666666666,0.0,0.5
4105,leave_one_out,equal_class,0.44985427022966856,0.3333333333333333,0.0,0.25
4106,leave_one_out,equal_class,0.3025883835213251,0.16666666666666666,0.0,0.5
4107,leave_one_out,equal_class,0.27289377678253285,0.20833333333333331,0.0,0.5
4108,leave_one_out,equal_class,0.46623531848130506,0.3333333333333333,0.0,0.5
4109,leave_one_out,equal_class,0.3981507143674989,0.125,0.0,0.75
4110,leave_one_out,equal_class,0.2957627456470283,0.25,0.0,0.5
4101,leave_one_out,equal_subject,0.031026802507974342,0.0,0.0,1.0
4102,leave_one_out,equal_subject,0.021855759514136687,0.0,0.0,1.0
4103,leave_one_out,equal_subject,0.016870653530242537,0.0,0.0,1.0
4104,leave_one_out,equal_subject,0.010009077617372417,0.0,0.0,1.0
4105,leave_one_out,equal_subject,0.05127076702992503,0.041666666666666664,0.0,0.75
4106,leave_one_out,equal_subject,0.024722563332118773,0.0,0.0,1.0
4107,leave_one_out,equal_subject,0.04076070914656828,0.0,0.0,1.0
4108,leave_one_out,equal_subject,0.05843688753338705,0.041666666666666664,0.0,1.0
4109,leave_one_out,equal_subject,0.01817862543239936,0.041666666666666664,0.0,1.0
4110,leave_one_out,equal_subject,0.01951220633948869,0.0,0.0,1.0
4101,data_size,equal_class,0.0,0.0,0.0,1.0
4102,data_size,equal_class,0.0,0.0,0.0,1.0
4103,data_size,equal_class,0.0,0.0,0.0,1.0
4104,data_size,equal_class,0.0,0.0,0.0,1.0
4105,data_size,equal_class,0.0,0.0,0.0,1.0
4106,data_size,equal_class,0.0,0.0,0.0,1.0
4107,data_size,equal_class,0.0,0.0,0.0,1.0
4108,data_size,equal_class,0.0,0.0,0.0,1.0
4109,data_size,equal_class,0.0,0.0,0.0,1.0
4110,data_size,equal_class,0.0,0.0,0.0,1.0
4101,data_size,equal_subject,0.0,0.0,0.0,1.0
4102,data_size,equal_subject,0.0,0.0,0.0,1.0
4103,data_size,equal_subject,0.0,0.0,0.0,1.0
4104,data_size,equal_subject,0.0,0.0,0.0,1.0
4105,data_size,equal_subject,0.0,0.0,0.0,1.0
4106,data_size,equal_subject,0.0,0.0,0.0,1.0
4107,data_size,equal_subject,0.0,0.0,0.0,1.0
4108,data_size,equal_subject,0.0,0.0,0.0,1.0
4109,data_size,equal_subject,0.0,0.0,0.0,1.0
4110,data_size,equal_subject,0.0,0.0,0.0,1.0
