contrast,n_seeds,mean,median,sd,minimum,maximum,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper,interval_level
equal_class_vs_sample_frequency,10,0.12086570226052953,0.11453893855124431,0.0255979735478517,0.08580474379237713,0.16688148107573705,0.10462347244295149,0.13911754108023927,0.10109438705339303,0.1487001121762678,0.975
equal_subject_vs_sample_frequency,10,0.009466195038479123,0.009474930444737253,0.0022389031470821693,0.006175818453800443,0.013511381345427845,0.008006119691785734,0.010998193913313203,0.007486084491890162,0.011111929721723899,0.975
