seed,cohort,evaluator,method,client,score
4101,C,equal_subject,leave_one_out,22,0.0006684170366457742
4101,C,equal_subject,leave_one_out,23,0.0024600735179983735
4101,C,equal_subject,leave_one_out,25,-0.0008824423837077155
4101,C,equal_subject,data_size,19,0.24623803009575923
4101,C,equal_subject,data_size,22,0.21956224350205197
4101,C,equal_subject,data_size,23,0.25444596443228457
4101,C,equal_subject,data_size,25,0.27975376196990426
4101,D,sample_frequency,shapley,27,0.008975975571495914
4101,D,sample_frequency,shapley,28,0.003603697522549114
4101,D,sample_frequency,shapley,29,0.01001209114523316
4101,D,sample_frequency,shapley,30,0.006821368193861292
4101,D,sample_frequency,leave_one_out,27,0.0011822741381896096
4101,D,sample_frequency,leave_one_out,28,-0.001061869265754467
4101,D,sample_frequency,leave_one_out,29,0.001754637831184569
4101,D,sample_frequency,leave_one_out,30,-0.0005648686951525983
4101,D,sample_frequency,data_size,27,0.2531986531986532
4101,D,sample_frequency,data_size,28,0.2572390572390572
4101,D,sample_frequency,data_size,29,0.23164983164983166
4101,D,sample_frequency,data_size,30,0.2579124579124579
4101,D,equal_class,shapley,27,0.006820854109018494
4101,D,equal_class,shapley,28,0.005015889649032852
4101,D,equal_class,shapley,29,0.011302390718416036
4101,D,equal_class,shapley,30,0.0069252951347802865
4101,D,equal_class,leave_one_out,27,-8.962183199467955e-05
4101,D,equal_class,leave_one_out,28,-0.000278607492512295
4101,D,equal_class,leave_one_out,29,0.0023893764267014506
4101,D,equal_class,leave_one_out,30,-0.0006216677283558125
4101,D,equal_class,data_size,27,0.2531986531986532
4101,D,equal_class,data_size,28,0.2572390572390572
4101,D,equal_class,data_size,29,0.23164983164983166
4101,D,equal_class,data_size,30,0.2579124579124579
4101,D,equal_subject,shapley,27,0.008869645629871728
4101,D,equal_subject,shapley,28,0.0033186028685068445
4101,D,equal_subject,shapley,29,0.0102590220787707
4101,D,equal_subject,shapley,30,0.006767813897351999
4101,D,equal_subject,leave_one_out,27,0.0011561038005754032
4101,D,equal_subject,leave_one_out,28,-0.001176739968203555
4101,D,equal_subject,leave_one_out,29,0.0019078135350739656
4101,D,equal_subject,leave_one_out,30,-0.0005673809483772718
4101,D,equal_subject,data_size,27,0.2531986531986532
4101,D,equal_subject,data_size,28,0.2572390572390572
4101,D,equal_subject,data_size,29,0.23164983164983166
4101,D,equal_subject,data_size,30,0.2579124579124579
4102,A,sample_frequency,shapley,3,0.006546731382832895
4102,A,sample_frequency,shapley,5,0.008810850569740522
4102,A,sample_frequency,shapley,6,-0.0005531785518847752
4102,A,sample_frequency,shapley,8,0.009676456605492129
4102,A,sample_frequency,leave_one_out,3,-0.0001479113122500042
4102,A,sample_frequency,leave_one_out,5,0.002087801561950875
4102,A,sample_frequency,leave_one_out,6,-0.0026237236781192497
4102,A,sample_frequency,leave_one_out,8,0.002026187144907765
4102,A,sample_frequency,data_size,3,0.27301841473178545
4102,A,sample_frequency,data_size,5,0.24179343474779824
4102,A,sample_frequency,data_size,6,0.2602081665332266
4102,A,sample_frequency,data_size,8,0.22497998398718974
4102,A,equal_class,shapley,3,0.0064930434255158105
4102,A,equal_class,shapley,5,0.005371238585394225
4102,A,equal_class,shapley,6,0.0044985566249703115
4102,A,equal_class,shapley,8,0.009158411738682084
4102,A,equal_class,leave_one_out,3,-0.00041323889361877253
4102,A,equal_class,leave_one_out,5,0.00019224526664030073
4102,A,equal_class,leave_one_out,6,0.00016490005454117274
4102,A,equal_class,leave_one_out,8,0.001633381577176296
4102,A,equal_class,data_size,3,0.27301841473178545
4102,A,equal_class,data_size,5,0.24179343474779824
4102,A,equal_class,data_size,6,0.2602081665332266
4102,A,equal_class,data_size,8,0.22497998398718974
4102,A,equal_subject,shapley,3,0.006711660604427295
4102,A,equal_subject,shapley,5,0.009152037648035941
4102,A,equal_subject,shapley,6,-0.0008363199758151991
4102,A,equal_subject,shapley,8,0.009389238452510034
4102,A,equal_subject,leave_one_out,3,-4.5126370888826095e-05
4102,A,equal_subject,leave_one_out,5,0.0022833314219332657
4102,A,equal_subject,leave_one_out,6,-0.0027650008299459072
4102,A,equal_subject,leave_one_out,8,0.0018889990037875837
4102,A,equal_subject,data_size,3,0.27301841473178545
4102,A,equal_subject,data_size,5,0.24179343474779824
4102,A,equal_subject,data_size,6,0.2602081665332266
4102,A,equal_subject,data_size,8,0.22497998398718974
4102,B,sample_frequency,shapley,11,0.0064442044279186626
4102,B,sample_frequency,shapley,14,0.008421522885161542
4102,B,sample_frequency,shapley,16,0.002646729329007086
4102,B,sample_frequency,shapley,17,0.006703230968859543
4102,B,sample_frequency,leave_one_out,11,0.0007832453490976832
4102,B,sample_frequency,leave_one_out,14,0.0017499023898910337
4102,B,sample_frequency,leave_one_out,16,-0.0019922458199626014
4102,B,sample_frequency,leave_one_out,17,0.00013905762906685215
4102,B,sample_frequency,data_size,11,0.23015294974508377
4102,B,sample_frequency,data_size,14,0.23525127458120904
4102,B,sample_frequency,data_size,16,0.26656955571740715
4102,B,sample_frequency,data_size,17,0.26802621995630005
4102,B,equal_class,shapley,11,0.008769422165074935
4102,B,equal_class,shapley,14,0.005915099338945526
4102,B,equal_class,shapley,16,0.0027591248698732767
4102,B,equal_class,shapley,17,0.0057626182746182055
4102,B,equal_class,leave_one_out,11,0.002118900927249645
4102,B,equal_class,leave_one_out,14,0.0006436769783494389
4102,B,equal_class,leave_one_out,16,-0.0017928404975342538
4102,B,equal_class,leave_one_out,17,-0.0002687906700359344
4102,B,equal_class,data_size,11,0.23015294974508377
4102,B,equal_class,data_size,14,0.23525127458120904
4102,B,equal_class,data_size,16,0.26656955571740715
4102,B,equal_class,data_size,17,0.26802621995630005
4102,B,equal_subject,shapley,11,0.006499001298838745
4102,B,equal_subject,shapley,14,0.00830934229575761
4102,B,equal_subject,shapley,16,0.0029542402346012142
