seed,cohort,evaluator,method,client,share,uniform_fallback
4101,C,equal_subject,shapley,23,0.3332783685638095,False
4101,C,equal_subject,shapley,25,0.20405396716519617,False
4101,C,equal_subject,leave_one_out,19,0.08472939185199517,False
4101,C,equal_subject,leave_one_out,22,0.1955519625012429,False
4101,C,equal_subject,leave_one_out,23,0.7197186456467619,False
4101,C,equal_subject,leave_one_out,25,0.0,False
4101,C,equal_subject,data_size,19,0.24623803009575923,False
4101,C,equal_subject,data_size,22,0.21956224350205197,False
4101,C,equal_subject,data_size,23,0.25444596443228457,False
4101,C,equal_subject,data_size,25,0.27975376196990426,False
4101,D,sample_frequency,shapley,27,0.30516897824125566,False
4101,D,sample_frequency,shapley,28,0.12252001825174065,False
4101,D,sample_frequency,shapley,29,0.34039526962971944,False
4101,D,sample_frequency,shapley,30,0.23191573387728417,False
4101,D,sample_frequency,leave_one_out,27,0.40255688645701504,False
4101,D,sample_frequency,leave_one_out,28,0.0,False
4101,D,sample_frequency,leave_one_out,29,0.597443113542985,False
4101,D,sample_frequency,leave_one_out,30,0.0,False
4101,D,sample_frequency,data_size,27,0.2531986531986532,False
4101,D,sample_frequency,data_size,28,0.2572390572390572,False
4101,D,sample_frequency,data_size,29,0.23164983164983166,False
4101,D,sample_frequency,data_size,30,0.2579124579124579,False
4101,D,equal_class,shapley,27,0.2268745556531924,False
4101,D,equal_class,shapley,28,0.1668380113606517,False
4101,D,equal_class,shapley,29,0.3759389705563414,False
4101,D,equal_class,shapley,30,0.23034846242981452,False
4101,D,equal_class,leave_one_out,27,0.0,False
4101,D,equal_class,leave_one_out,28,0.0,False
4101,D,equal_class,leave_one_out,29,1.0,False
4101,D,equal_class,leave_one_out,30,0.0,False
4101,D,equal_class,data_size,27,0.2531986531986532,False
4101,D,equal_class,data_size,28,0.2572390572390572,False
4101,D,equal_class,data_size,29,0.23164983164983166,False
4101,D,equal_class,data_size,30,0.2579124579124579,False
4101,D,equal_subject,shapley,27,0.3035981510720291,False
4101,D,equal_subject,shapley,28,0.11359210244294514,False
4101,D,equal_subject,shapley,29,0.3511549688560615,False
4101,D,equal_subject,shapley,30,0.2316547776289643,False
4101,D,equal_subject,leave_one_out,27,0.37732865280791844,False
4101,D,equal_subject,leave_one_out,28,0.0,False
4101,D,equal_subject,leave_one_out,29,0.6226713471920815,False
4101,D,equal_subject,leave_one_out,30,0.0,False
4101,D,equal_subject,data_size,27,0.2531986531986532,False
4101,D,equal_subject,data_size,28,0.2572390572390572,False
4101,D,equal_subject,data_size,29,0.23164983164983166,False
4101,D,equal_subject,data_size,30,0.2579124579124579,False
4102,A,sample_frequency,shapley,3,0.2615131940317176,False
4102,A,sample_frequency,shapley,5,0.3519548214046277,False
4102,A,sample_frequency,shapley,6,0.0,False
4102,A,sample_frequency,shapley,8,0.38653198456365473,False
4102,A,sample_frequency,leave_one_out,3,0.0,False
4102,A,sample_frequency,leave_one_out,5,0.5074884037649872,False
4102,A,sample_frequency,leave_one_out,6,0.0,False
4102,A,sample_frequency,leave_one_out,8,0.49251159623501284,False
4102,A,sample_frequency,data_size,3,0.27301841473178545,False
4102,A,sample_frequency,data_size,5,0.24179343474779824,False
4102,A,sample_frequency,data_size,6,0.2602081665332266,False
4102,A,sample_frequency,data_size,8,0.22497998398718974,False
4102,A,equal_class,shapley,3,0.25441713592479637,False
4102,A,equal_class,shapley,5,0.21046141966256682,False
4102,A,equal_class,shapley,6,0.17626709345926553,False
4102,A,equal_class,shapley,8,0.35885435095337126,False
4102,A,equal_class,leave_one_out,3,0.0,False
4102,A,equal_class,leave_one_out,5,0.09658008982390918,False
4102,A,equal_class,leave_one_out,6,0.08284241457737601,False
4102,A,equal_class,leave_one_out,8,0.8205774955987148,False
4102,A,equal_class,data_size,3,0.27301841473178545,False
4102,A,equal_class,data_size,5,0.24179343474779824,False
4102,A,equal_class,data_size,6,0.2602081665332266,False
4102,A,equal_class,data_size,8,0.22497998398718974,False
4102,A,equal_subject,shapley,3,0.26577742948627087,False
4102,A,equal_subject,shapley,5,0.36241478585077014,False
4102,A,equal_subject,shapley,6,0.0,False
4102,A,equal_subject,shapley,8,0.37180778466295894,False
4102,A,equal_subject,leave_one_out,3,0.0,False
4102,A,equal_subject,leave_one_out,5,0.5472556554623251,False
4102,A,equal_subject,leave_one_out,6,0.0,False
4102,A,equal_subject,leave_one_out,8,0.4527443445376748,False
4102,A,equal_subject,data_size,3,0.27301841473178545,False
4102,A,equal_subject,data_size,5,0.24179343474779824,False
4102,A,equal_subject,data_size,6,0.2602081665332266,False
4102,A,equal_subject,data_size,8,0.22497998398718974,False
4102,B,sample_frequency,shapley,11,0.2661169293002246,False
4102,B,sample_frequency,shapley,14,0.34777137120626495,False
4102,B,sample_frequency,shapley,16,0.10929812820225752,False
4102,B,sample_frequency,shapley,17,0.276813571291253,False
4102,B,sample_frequency,leave_one_out,11,0.2931082163297995,False
4102,B,sample_frequency,leave_one_out,14,0.654853257466641,False
4102,B,sample_frequency,leave_one_out,16,0.0,False
4102,B,sample_frequency,leave_one_out,17,0.052038526203559525,False
4102,B,sample_frequency,data_size,11,0.23015294974508377,False
4102,B,sample_frequency,data_size,14,0.23525127458120904,False
4102,B,sample_frequency,data_size,16,0.26656955571740715,False
4102,B,sample_frequency,data_size,17,0.26802621995630005,False
4102,B,equal_class,shapley,11,0.37789029375898536,False
4102,B,equal_class,shapley,14,0.2548923503432001,False
4102,B,equal_class,shapley,16,0.11889569095516629,False
4102,B,equal_class,shapley,17,0.24832166494264826,False
4102,B,equal_class,leave_one_out,11,0.7670013297924161,False
4102,B,equal_class,leave_one_out,14,0.23299867020758394,False
4102,B,equal_class,leave_one_out,16,0.0,False
4102,B,equal_class,leave_one_out,17,0.0,False
4102,B,equal_class,data_size,11,0.23015294974508377,False
4102,B,equal_class,data_size,14,0.23525127458120904,False
4102,B,equal_class,data_size,16,0.26656955571740715,False
4102,B,equal_class,data_size,17,0.26802621995630005,False
4102,B,equal_subject,shapley,11,0.2658309762004679,False
4102,B,equal_subject,shapley,14,0.33988000194118595,False
4102,B,equal_subject,shapley,16,0.1208383456755216,False
4102,B,equal_subject,shapley,17,0.27345067618282454,False
4102,B,equal_subject,leave_one_out,11,0.30802838722207343,False
4102,B,equal_subject,leave_one_out,14,0.6557867114426458,False
4102,B,equal_subject,leave_one_out,16,0.0,False
4102,B,equal_subject,leave_one_out,17,0.03618490133528074,False
4102,B,equal_subject,data_size,11,0.23015294974508377,False
4102,B,equal_subject,data_size,14,0.23525127458120904,False
4102,B,equal_subject,data_size,16,0.26656955571740715,False
